课程编号,课程名称,课程类别,学分数,总学时,讲课,实验,课程实践,自主学习,周学时,起止周数,建议修读学期,开课部门,修读说明,是否必修,课程体系,修读学期,平时成绩构成,期末成绩构成,
MAR1042,形势与政策（1）,通识基础必修,0.25,8,8,0,0,0,4.0,15-16,1,马克思主义学院,,是,人文社会科学,1,,,
MAR1069,思想道德与法治,通识基础必修,3.0,45,45,0,0,0,3.0,2-16,1,马克思主义学院,,是,人文社会科学,1,,,
STU1001,军事理论,通识基础必修,1.0,30,30,0,0,0,4.0,2-16,1,学生处,,是,人文社会科学,1,,,
MAR1071,习近平新时代中国特色社会主义思想概论,通识基础必修,3.0,48,48,0,0,0,3.0,1-16,1,马克思主义学院,,是,人文社会科学,1,,,
PHE1001,公共体育（1）,通识基础必修,1.0,30,30,0,0,0,2.0,2-16,1,体育学院,,是,人文社会科学,1,,,
INE1115,创业基础,通识基础必修,2.0,32,10,0,22,0,2.0,1-16,2,创意学院,,是,人文社会科学,2,,,
LAW1378,国家安全与法治保障,通识基础必修,1.0,16,16,0,0,0,1.0,1-16,2,法学院,,是,人文社会科学,2,,,
STU1003,大学生劳动教育,通识基础必修,1.0,32,14,0,18,0,2.0,1-16,2,学生处,,是,人文社会科学,2,,,
MAR1043,形势与政策（2）,通识基础必修,0.25,8,8,0,0,0,4.0,15-16,2,马克思主义学院,,是,人文社会科学,2,,,
PHE1002,公共体育（2）,通识基础必修,1.0,32,32,0,0,0,2.0,1-16,2,体育学院,,是,人文社会科学,2,,,
MAR1003,中国近代史纲要,通识基础必修,2.0,32,32,0,0,0,2.0,1-16,2,马克思主义学院,,是,人文社会科学,2,,,
MAR1014,大学生心理健康教育,通识基础必修,1.0,16,16,0,0,0,1.0,1-16,2,心理健康教育中心,,是,人文社会科学,2,,,
MAR1044,形势与政策（3）,通识基础必修,0.25,8,8,0,0,0,4.0,15-16,3,马克思主义学院,,是,人文社会科学,3,,,
PHE1003,专项体育（1）,通识基础必修,1.0,32,32,0,0,0,2.0,1-16,3,体育学院,,是,人文社会科学,3,,,
MAR1001,马克思主义基本原理,通识基础必修,3.0,48,48,0,0,0,3.0,1-16,3,马克思主义学院,,是,人文社会科学,3,,,
PHE1004,专项体育（2）,通识基础必修,1.0,32,32,0,0,0,2.0,1-16,4,体育学院,,是,人文社会科学,4,,,
MAR1045,形势与政策（4）,通识基础必修,0.25,8,8,0,0,0,4.0,15-16,4,马克思主义学院,,是,人文社会科学,4,,,
MAR1072,毛泽东思想和中国特色社会主义理论体系概论,通识基础必修,2.0,32,32,0,0,0,2.0,1-16,4,马克思主义学院,,是,人文社会科学,4,,,
MAR1046,形势与政策（5）,通识基础必修,0.25,8,8,0,0,0,4.0,15-16,5,马克思主义学院,,是,人文社会科学,5,,,
MAR1047,形势与政策（6）,通识基础必修,0.25,8,8,0,0,0,4.0,15-16,6,马克思主义学院,,是,人文社会科学,6,,,
MAR1048,形势与政策（7）,通识基础必修,0.25,8,8,0,0,0,4.0,15-16,7,马克思主义学院,,是,人文社会科学,7,,,
MAR1049,形势与政策（8）,通识基础必修,0.25,8,8,0,0,0,4.0,15-16,8,马克思主义学院,,是,人文社会科学,8,,,
DAT1033,高等数学（1）,通识分层必修,5.0,75,75,0,0,0,5,2-16,1,数据科学学院,准入课程,是,数学与自然科学,1,,,
FRL1002,大学英语听说（1）,通识分层必修,2.0,30,30,0,0,0,2,2-16,1,外国语学院,,是,人文社会科学,1,,,
FRL1005,大学英语读写（1）,通识分层必修,2.0,30,30,0,0,0,2,2-16,1,外国语学院,准入课程,是,人文社会科学,1,,,
FRL1006,大学英语读写（2）,通识分层必修,2.0,32,32,0,0,0,2,1-16,2,外国语学院,准入课程,是,人文社会科学,2,,,
DAT1306,高等数学 (2),通识分层必修,4.0,96,32,0,64,0,6,1-16,2,数据科学学院,准入课程,是,数学与自然科学,2,,,
FRL1003,大学英语听说（2）,通识分层必修,2.0,32,32,0,0,0,2,1-16,2,外国语学院,,是,人文社会科学,2,,,
