课程编号,课程名称,章,知识点,书籍文件名称,开始页码,结束页码,
INF1350,Python高级程序设计,起步,搭建编程环境,INF1350_Python高级程序设计,21,22,
INF1350,Python高级程序设计,起步,在不同操作系统中搭建Python编程环境,INF1350_Python高级程序设计,22,31,
INF1350,Python高级程序设计,起步,解决安装问题,INF1350_Python高级程序设计,31,31,
INF1350,Python高级程序设计,起步,从终端运行Python程序,INF1350_Python高级程序设计,32,33,
INF1350,Python高级程序设计,变量和简单数据类型,运行hello_world.py时发生的事情,INF1350_Python高级程序设计,34,34,
INF1350,Python高级程序设计,变量和简单数据类型,变量,INF1350_Python高级程序设计,35,37,
INF1350,Python高级程序设计,变量和简单数据类型,字符串,INF1350_Python高级程序设计,37,43,
INF1350,Python高级程序设计,变量和简单数据类型,数字,INF1350_Python高级程序设计,43,46,
INF1350,Python高级程序设计,变量和简单数据类型,注释,INF1350_Python高级程序设计,46,47,
INF1350,Python高级程序设计,变量和简单数据类型,Python之禅,INF1350_Python高级程序设计,47,48,
INF1350,Python高级程序设计,列表简介,列表是什么,INF1350_Python高级程序设计,51,52,
INF1350,Python高级程序设计,列表简介,修改、添加和删除元素,INF1350_Python高级程序设计,52,58,
INF1350,Python高级程序设计,列表简介,组织列表,INF1350_Python高级程序设计,58,61,
INF1350,Python高级程序设计,列表简介,使用列表时避免索引错误,INF1350_Python高级程序设计,61,62,
INF1350,Python高级程序设计,操作列表,遍历整个列表,INF1350_Python高级程序设计,63,66,
INF1350,Python高级程序设计,操作列表,避免缩进错误,INF1350_Python高级程序设计,66,69,
INF1350,Python高级程序设计,操作列表,创建数值列表,INF1350_Python高级程序设计,70,73,
INF1350,Python高级程序设计,操作列表,使用列表的一部分,INF1350_Python高级程序设计,73,77,
INF1350,Python高级程序设计,操作列表,元组,INF1350_Python高级程序设计,78,79,
INF1350,Python高级程序设计,操作列表,设置代码格式,INF1350_Python高级程序设计,80,81,
INF1350,Python高级程序设计,if语句,一个简单示例,INF1350_Python高级程序设计,83,84,
INF1350,Python高级程序设计,if语句,条件测试,INF1350_Python高级程序设计,84,89,
INF1350,Python高级程序设计,if语句,if语句,INF1350_Python高级程序设计,89,95,
INF1350,Python高级程序设计,if语句,使用if语句处理列表,INF1350_Python高级程序设计,95,99,
INF1350,Python高级程序设计,if语句,设置if语句的格式,INF1350_Python高级程序设计,99,99,
INF1350,Python高级程序设计,字典,一个简单的字典,INF1350_Python高级程序设计,100,100,
INF1350,Python高级程序设计,字典,使用字典,INF1350_Python高级程序设计,101,106,
INF1350,Python高级程序设计,字典,遍历字典,INF1350_Python高级程序设计,106,112,
INF1350,Python高级程序设计,字典,嵌套,INF1350_Python高级程序设计,112,118,
INF1350,Python高级程序设计,用户输入和while循环,函数input()的工作原理,INF1350_Python高级程序设计,119,123,
INF1350,Python高级程序设计,用户输入和while循环,while循环简介,INF1350_Python高级程序设计,123,129,
INF1350,Python高级程序设计,用户输入和while循环,使用while循环来处理列表和字典,INF1350_Python高级程序设计,129,132,
INF1350,Python高级程序设计,函数,定义函数,INF1350_Python高级程序设计,133,135,
INF1350,Python高级程序设计,函数,传递实参,INF1350_Python高级程序设计,135,140,
INF1350,Python高级程序设计,函数,返回值,INF1350_Python高级程序设计,140,145,
INF1350,Python高级程序设计,函数,传递列表,INF1350_Python高级程序设计,145,148,
INF1350,Python高级程序设计,函数,传递任意数量的实参,INF1350_Python高级程序设计,149,152,
INF1350,Python高级程序设计,函数,将函数存储在模块中,INF1350_Python高级程序设计,152,155,
INF1350,Python高级程序设计,函数,函数编写指南,INF1350_Python高级程序设计,155,156,
INF1350,Python高级程序设计,类,创建和使用类,INF1350_Python高级程序设计,157,161,
INF1350,Python高级程序设计,类,使用类和实例,INF1350_Python高级程序设计,161,166,
INF1350,Python高级程序设计,类,继承,INF1350_Python高级程序设计,166,172,
INF1350,Python高级程序设计,类,导入类,INF1350_Python高级程序设计,172,178,
INF1350,Python高级程序设计,类,Python标准库,INF1350_Python高级程序设计,178,179,
INF1350,Python高级程序设计,类,类编码风格,INF1350_Python高级程序设计,180,180,
INF1350,Python高级程序设计,文件和异常,从文件中读取数据,INF1350_Python高级程序设计,181,188,
INF1350,Python高级程序设计,文件和异常,写入文件,INF1350_Python高级程序设计,188,191,
INF1350,Python高级程序设计,文件和异常,异常,INF1350_Python高级程序设计,191,199,
INF1350,Python高级程序设计,文件和异常,存储数据,INF1350_Python高级程序设计,199,205,
INF1350,Python高级程序设计,测试代码,测试函数,INF1350_Python高级程序设计,206,212,
INF1350,Python高级程序设计,测试代码,测试类,INF1350_Python高级程序设计,212,217,
