课程编号,课程名称,章,知识点,书籍文件名称,开始页码,结束页码,
INF1370,量化金融分析,经济金融数据分析及Python环境,经济金融数据类型,INF1370_量化金融分析,10,11,
INF1370,量化金融分析,经济金融数据分析及Python环境,经济金融数据来源,INF1370_量化金融分析,11,11,
INF1370,量化金融分析,经济金融数据分析及Python环境,经济金融数据分析工具简介,INF1370_量化金融分析,11,14,
INF1370,量化金融分析,经济金融数据分析及Python环境,Python数据分析工具的下载,INF1370_量化金融分析,14,16,
INF1370,量化金融分析,经济金融数据分析及Python环境,数据分析工具Python的安装,INF1370_量化金融分析,16,18,
INF1370,量化金融分析,经济金融数据分析及Python环境,Python的启动和退出,INF1370_量化金融分析,18,19,
INF1370,量化金融分析,经济金融数据分析及Python环境,Python数据分析相关的程序包,INF1370_量化金融分析,19,20,
INF1370,量化金融分析,经济金融数据分析及Python环境,Python数据分析快速入门,INF1370_量化金融分析,20,25,
INF1370,量化金融分析,Python数据分析程序包应用基础,Python数据分析的NumPy应用基础,INF1370_量化金融分析,26,28,
INF1370,量化金融分析,Python数据分析程序包应用基础,Python数据分析的SciPy应用基础,INF1370_量化金融分析,28,34,
INF1370,量化金融分析,Python数据分析程序包应用基础,Python数据分析的Pandas应用基础,INF1370_量化金融分析,34,46,
INF1370,量化金融分析,Python数据分析的数据存取,Python - NumPy数据存取,INF1370_量化金融分析,47,48,
INF1370,量化金融分析,Python数据分析的数据存取,Python - SciPy数据存取,INF1370_量化金融分析,48,48,
INF1370,量化金融分析,Python数据分析的数据存取,Python - Pandas的csv格式数据文件存取,INF1370_量化金融分析,48,49,
INF1370,量化金融分析,Python数据分析的数据存取,Python - Pandas的Excel格式数据文件存取,INF1370_量化金融分析,49,50,
INF1370,量化金融分析,Python数据分析的数据存取,读取并查看数据表列,INF1370_量化金融分析,50,50,
INF1370,量化金融分析,Python数据分析的数据存取,读取Yahoo财经网站数据,INF1370_量化金融分析,50,51,
INF1370,量化金融分析,Python数据分析的数据存取,读取挖地兔财经网站数据,INF1370_量化金融分析,51,53,
INF1370,量化金融分析,Python数据分析的数据存取,挖地兔Tushare财经网站数据保存与读取,INF1370_量化金融分析,53,55,
INF1370,量化金融分析,Python图形的绘制和可视化,Matplotlib绘图应用基础,INF1370_量化金融分析,56,56,
INF1370,量化金融分析,Python图形的绘制和可视化,直方图的绘制,INF1370_量化金融分析,56,59,
INF1370,量化金融分析,Python图形的绘制和可视化,散点图的绘制,INF1370_量化金融分析,59,60,
INF1370,量化金融分析,Python图形的绘制和可视化,气泡图的绘制,INF1370_量化金融分析,60,60,
INF1370,量化金融分析,Python图形的绘制和可视化,箱图的绘制,INF1370_量化金融分析,60,62,
INF1370,量化金融分析,Python图形的绘制和可视化,饼图的绘制,INF1370_量化金融分析,62,63,
INF1370,量化金融分析,Python图形的绘制和可视化,条形图的绘制,INF1370_量化金融分析,63,65,
INF1370,量化金融分析,Python图形的绘制和可视化,折线图的绘制,INF1370_量化金融分析,65,66,
INF1370,量化金融分析,Python图形的绘制和可视化,曲线标绘图的绘制,INF1370_量化金融分析,66,68,
INF1370,量化金融分析,Python图形的绘制和可视化,连线标绘图的绘制,INF1370_量化金融分析,68,70,
INF1370,量化金融分析,Python图形的绘制和可视化,复杂图形的绘制,INF1370_量化金融分析,70,72,
INF1370,量化金融分析,Python图形的绘制和可视化,关于绘图中显示中文的问题处理,INF1370_量化金融分析,72,73,
INF1370,量化金融分析,概率统计分布的Python应用,二项分布,INF1370_量化金融分析,74,76,
INF1370,量化金融分析,概率统计分布的Python应用,泊松分布,INF1370_量化金融分析,76,78,
INF1370,量化金融分析,概率统计分布的Python应用,正态分布,INF1370_量化金融分析,78,79,
INF1370,量化金融分析,概率统计分布的Python应用,β分布,INF1370_量化金融分析,79,80,
INF1370,量化金融分析,概率统计分布的Python应用,均匀分布,INF1370_量化金融分析,80,81,
INF1370,量化金融分析,概率统计分布的Python应用,指数分布,INF1370_量化金融分析,81,82,
INF1370,量化金融分析,描述性统计的Python应用,描述性统计量,INF1370_量化金融分析,83,89,
INF1370,量化金融分析,描述性统计的Python应用,描述性统计的Python工具,INF1370_量化金融分析,89,90,
INF1370,量化金融分析,描述性统计的Python应用,单组数据描述性统计的Python应用,INF1370_量化金融分析,90,93,
INF1370,量化金融分析,描述性统计的Python应用,多组数据描述性统计的Python应用,INF1370_量化金融分析,93,94,
INF1370,量化金融分析,参数估计的Python应用,参数估计与置信区间的含义,INF1370_量化金融分析,95,95,
INF1370,量化金融分析,参数估计的Python应用,点估计的Python应用,INF1370_量化金融分析,95,96,
INF1370,量化金融分析,参数估计的Python应用,单正态总体均值区间估计的Python应用,INF1370_量化金融分析,96,99,
INF1370,量化金融分析,参数估计的Python应用,单正态总体方差区间估计的Python应用,INF1370_量化金融分析,99,99,
INF1370,量化金融分析,参数估计的Python应用,双正态总体均值差区间估计的Python应用,INF1370_量化金融分析,99,102,
INF1370,量化金融分析,参数估计的Python应用,双正态总体方差比区间估计的Python应用,INF1370_量化金融分析,102,102,
INF1370,量化金融分析,参数假设检验的Python应用,参数假设检验的基本理论,INF1370_量化金融分析,103,112,
INF1370,量化金融分析,参数假设检验的Python应用,单个t样本检验的Python应用,INF1370_量化金融分析,112,113,
INF1370,量化金融分析,参数假设检验的Python应用,两个独立样本t检验的Python应用,INF1370_量化金融分析,113,114,
INF1370,量化金融分析,参数假设检验的Python应用,配对样本t检验的Python应用,INF1370_量化金融分析,114,115,
INF1370,量化金融分析,参数假设检验的Python应用,单样本方差假设检验的Python应用,INF1370_量化金融分析,115,116,
INF1370,量化金融分析,参数假设检验的Python应用,双样本方差假设检验的Python应用,INF1370_量化金融分析,116,118,
INF1370,量化金融分析,相关分析与一元回归数据分析的Python应用,相关分析基本理论,INF1370_量化金融分析,119,120,
INF1370,量化金融分析,相关分析与一元回归数据分析的Python应用,相关分析的Python应用,INF1370_量化金融分析,120,121,
INF1370,量化金融分析,相关分析与一元回归数据分析的Python应用,一元线性回归分析基本理论,INF1370_量化金融分析,121,124,
INF1370,量化金融分析,相关分析与一元回归数据分析的Python应用,一元线性回归数据分析的Python应用,INF1370_量化金融分析,124,128,
INF1370,量化金融分析,相关分析与一元回归数据分析的Python应用,自相关性诊断的Python应用,INF1370_量化金融分析,128,130,
INF1370,量化金融分析,多元回归数据分析的Python应用,多元线性回归分析基本理论,INF1370_量化金融分析,131,134,
INF1370,量化金融分析,多元回归数据分析的Python应用,多元线性回归数据分析的Python应用,INF1370_量化金融分析,134,140,
INF1370,量化金融分析,多元回归数据分析的Python应用,多元回归分析的Scikit - learn工具应用,INF1370_量化金融分析,140,145,
INF1370,量化金融分析,多元回归数据分析的Python应用,稳健线性回归分析Python应用,INF1370_量化金融分析,145,146,
INF1370,量化金融分析,多元回归数据分析的Python应用,逻辑Logistic回归分析Python应用,INF1370_量化金融分析,146,147,
INF1370,量化金融分析,多元回归数据分析的Python应用,广义线性回归分析Python应用,INF1370_量化金融分析,147,150,
INF1370,量化金融分析,机器学习数据分析的Python应用,机器学习算法分类,INF1370_量化金融分析,151,151,
INF1370,量化金融分析,机器学习数据分析的Python应用,常见的机器学习算法及其Python代码,INF1370_量化金融分析,151,160,
INF1370,量化金融分析,机器学习数据分析的Python应用,K最近邻算法银行贷款分类的Python应用,INF1370_量化金融分析,160,164,
INF1370,量化金融分析,机器学习数据分析的Python应用,各种机器学习算法的Python应用,INF1370_量化金融分析,164,172,
INF1370,量化金融分析,机器学习数据分析的Python应用,K最近邻算法分类的Python应用,INF1370_量化金融分析,172,181,
INF1370,量化金融分析,时间序列数据分析的Python应用,时间序列分析的ARIMA建模,INF1370_量化金融分析,182,185,
INF1370,量化金融分析,时间序列数据分析的Python应用,ARIMA模型时间序列分析的Python - Statsmodels应用,INF1370_量化金融分析,185,192,
INF1370,量化金融分析,时间序列数据分析的Python应用,时间序列数据分析ARIMA模型的Python应用,INF1370_量化金融分析,192,198,
INF1370,量化金融分析,量化金融数据分析的Python应用,战胜股票市场策略可视化的Python应用,INF1370_量化金融分析,199,204,
INF1370,量化金融分析,量化金融数据分析的Python应用,股票数据描述性统计的Python应用,INF1370_量化金融分析,204,210,
INF1370,量化金融分析,量化金融数据分析的Python应用,资产组合标准均值方差模型及其Python应用,INF1370_量化金融分析,210,214,
INF1370,量化金融分析,量化金融数据分析的Python应用,资产组合有效边界的Python绘制,INF1370_量化金融分析,214,217,
INF1370,量化金融分析,量化金融数据分析的Python应用,Markowitz投资组合优化的Python应用,INF1370_量化金融分析,217,228,
INF1370,量化金融分析,量化金融数据分析的Python应用,蒙特卡罗模拟股票期权定价的Python应用,INF1370_量化金融分析,228,229,
INF1370,量化金融分析,量化金融数据分析的Python应用,蒙特卡罗模拟期权价格稳定性的Python应用,INF1370_量化金融分析,229,233,
